49,"极简:在你拥有的一切之下,发现你想要的生活（封…",总体,https://www.amazon.cn/dp/B01M8L5Z3Y/ref=zg_bs_books_49/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,乔舒亚•贝克尔 (Joshua  …,3.9,214,https://www.amazon.cn/product-reviews/B01M8L5Z3Y/ref=zg_bs_books_cr_49/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,20.90
50,平凡的世界：全三册,总体,https://www.amazon.cn/dp/B071SDP8PC/ref=zg_bs_books_50/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,路遥,4.3,61,https://www.amazon.cn/product-reviews/B071SDP8PC/ref=zg_bs_books_cr_50/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,81.00
51,无所畏（2018年冯唐全新作品，一部坦露自我的真…,总体,https://www.amazon.cn/dp/B07GW2PHKH/ref=zg_bs_books_51?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,冯唐,4.1,43,https://www.amazon.cn/product-reviews/B07GW2PHKH/ref=zg_bs_books_cr_51?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,34.40
52,影响力(经典版),总体,https://www.amazon.cn/dp/B01MF7VP21/ref=zg_bs_books_52?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,罗伯特·B.西奥迪尼,4.3,2095,https://www.amazon.cn/product-reviews/B01MF7VP21/ref=zg_bs_books_cr_52?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,40.30
53,态度,总体,https://www.amazon.cn/dp/B07J35QDDP/ref=zg_bs_books_53?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,吴军,4.6,5,https://www.amazon.cn/product-reviews/B07J35QDDP/ref=zg_bs_books_cr_53?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,43.00
54,人类简史(绘本版):给孩子的世界历史超图解,总体,https://www.amazon.cn/dp/B07BFBT318/ref=zg_bs_books_54?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,贝特朗•菲舒 (Bertrand …,4.8,20,https://www.amazon.cn/product-reviews/B07BFBT318/ref=zg_bs_books_cr_54?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,75.52
55,DK儿童百科全书,总体,https://www.amazon.cn/dp/B003OUW7CC/ref=zg_bs_books_55?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,英国DK公司,4.7,3155,https://www.amazon.cn/product-reviews/B003OUW7CC/ref=zg_bs_books_cr_55?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,86.20
56,智能商业,总体,https://www.amazon.cn/dp/B07J35GDC7/ref=zg_bs_books_56?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,曾鸣,4.0,3,https://www.amazon.cn/product-reviews/B07J35GDC7/ref=zg_bs_books_cr_56?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,51.00
57,哈利·波特(纪念版)(套装共7册),总体,https://www.amazon.cn/dp/B00OUNPC1A/ref=zg_bs_books_57?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,罗琳,4.4,996,https://www.amazon.cn/product-reviews/B00OUNPC1A/ref=zg_bs_books_cr_57?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,235.50
58,人类简史三部曲:尤瓦尔·赫拉利作品(套装共3册)(两…,总体,https://www.amazon.cn/dp/B07FDKXPX1/ref=zg_bs_books_58?_encoding=UTF8&psc=1&refRID=D6ZNBJDERRRACJ63D0N3,尤瓦尔•赫拉利,4.2,20,https://www.amazon.cn/product-reviews/B07FDKXPX1/ref=zg_bs_books_cr_58?ie=UTF8&refRID=D6ZNBJDERRRACJ63D0N3,144.60
